feature_1,target
-0.6307029313944528,0
-0.6229049425319909,0
-0.6695203954179318,0
-0.6541527588892052,0
-0.6487880559888725,0
-0.5352727781994511,0
-0.6565377899938521,0
-0.6257804985628277,0
-0.6756435043172597,0
-0.6456446188852304,0
-0.5974082382364501,0
-0.6389431903256222,0
-0.6616125934478085,0
-0.7519679431888536,0
-0.6003715890013773,0
-0.5521572267261681,0
-0.5770535929878575,0
-0.6037992282085833,0
-0.5204834613310048,0
-0.6121975551048965,0
-0.5576743002488321,0
-0.5790126750545554,0
-0.7377846616970711,0
-0.5060938570165965,0
-0.6076075792343174,0
-0.5902105874078397,0
-0.5615278884939872,0
-0.608453779967403,0
-0.6126178068000331,0
-0.6381847843266271,0
-0.6200996597322075,0
-0.5247573012712964,0
-0.673044544340102,0
-0.6274553785259616,0
-0.618740915699361,0
-0.6445537559251893,0
-0.5939323441717621,0
-0.6874957069046899,0
-0.6923698848788329,0
-0.6139765508328796,0
0.2799517663027614,1
0.21514137571473924,1
0.3222231060173578,1
0.05940301306820395,1
0.2625152345996753,1
0.10383104269125021,1
0.24485036170039232,1
-0.17152938561327546,1
0.2142305990934127,1
0.015324961909241375,1
-0.11371032303123796,1
0.13734837970263736,1
0.04399281902480756,1
0.1925597673266436,1
-0.008260915177083938,1
0.2194854888860841,1
0.1332721476040979,1
-0.0005757570603449613,1
0.2543452488995591,1
-0.0056080029996316005,1
0.2681683577139121,1
0.09882081512553442,1
0.2890864808244987,1
0.14503353781937622,1
0.15928709254221196,1
0.2139627180206075,1
0.29191378199785334,1
0.3691489974907737,1
0.18676911538836183,1
-0.068769750108431,1
-0.021575977562209636,1
-0.058924884445180736,1
0.03234124191719079,1
0.28890639448578403,1
0.10966425214420183,1
0.18226693425187335,1
0.2777248031632583,1
0.19561540969619495,1
0.037683926443952465,1
0.04684065933926085,1
0.6227713384355381,2
0.34600960858349616,2
0.6179864344279579,2
0.41778930880393184,2
0.5636212475370376,2
0.7501225989574095,2
0.1358578041885582,2
0.6089452119831239,2
0.5110202145758137,2
0.7206085411087576,2
0.42413506155664404,2
0.4377237023573878,2
0.5407937764497076,2
0.36322651407125905,2
0.47424694764837183,2
0.5139326307785078,2
0.42467082370225484,2
0.7490260386545563,2
0.8721942716082877,2
0.28296337192517085,2
0.6147331842166545,2
0.3221338320507946,2
0.758030400927533,2
0.35723523665316403,2
0.5310367055205477,2
0.5469621225684561,2
0.3287049083616428,2
0.31478381059985294,2
0.5165855429559599,2
0.48482666253145734,2
0.6330436323692098,2
0.6874909166514086,2
0.5434892461418294,2
0.29113335762528714,2
0.30541013119397264,2
0.7635079345735886,2
0.5478056435967905,2
0.40658569910783526,2
0.2925346591728034,2
0.5358713436180823,2
