feature_1,feature_2,feature_3,feature_4,target
-0.5371775589668552,1.4793978844888998,-1.2833890997091604,-1.3154442950077407,0
-1.2641847816287635,0.7888075857129598,-1.2265516727955572,-1.3154442950077407,0
-1.2641847816287635,-0.1319794793216258,-1.3402265266227635,-1.4470764792980415,0
-1.87002413384702,-0.1319794793216258,-1.5107388073635728,-1.4470764792980415,0
-0.052506077192250644,2.169988183264839,-1.4539013804499696,-1.3154442950077407,0
-0.1736739476359015,3.0907752482994253,-1.2833890997091604,-1.052179926427139,0
-0.5371775589668552,1.939791417006192,-1.3970639535363667,-1.052179926427139,0
-0.9006811702978099,1.0190043519716065,-1.3402265266227635,-1.18381211071744,0
-0.1736739476359015,1.7095946507475455,-1.169714245881954,-1.18381211071744,0
-0.9006811702978099,1.7095946507475455,-1.2833890997091604,-1.18381211071744,0
-1.0218490407414607,-2.43394714190809,-0.1466405614370976,-0.262386820685334,1
0.06866179325140129,-0.1319794793216258,0.25122142695812444,0.3957741007661703,1
0.18982966369505214,-1.973553609390797,0.13754657313091806,-0.262386820685334,1
0.310997534138703,-0.36217624558027245,0.5354085615261401,0.2641419164758693,1
-0.29484181807955345,-0.36217624558027245,-0.08980313452349442,0.13250973218556866,1
1.0380047568006114,0.09821728693702086,0.3648962807853308,0.2641419164758693,1
-0.29484181807955345,-0.1319794793216258,0.42173370769893376,0.3957741007661703,1
-0.052506077192250644,-0.8225697780975647,0.194384000044521,-0.262386820685334,1
0.4321654045823549,-1.973553609390797,0.42173370769893376,0.3957741007661703,1
-0.29484181807955345,-1.282963310614858,0.08070914621731488,-0.13075463639503299,1
0.7956690159133086,0.3284140531956675,0.7627582691805523,1.0539350222176747,2
0.6745011454696578,-0.8225697780975647,0.8764331230077588,0.9223028379273737,2
1.1591726272442622,-0.1319794793216258,0.9901079768349651,1.1855672065079756,2
-0.1736739476359015,-1.282963310614858,0.7059208422669494,1.0539350222176747,2
-0.052506077192250644,-0.5923730118389191,0.7627582691805523,1.580463759378878,2
0.6745011454696578,0.3284140531956675,0.8764331230077588,1.448831575088577,2
0.7956690159133086,-0.1319794793216258,0.9901079768349651,0.7906706536370729,2
2.249683461237124,1.7095946507475455,1.672157099798203,1.3171993907982766,2
2.249683461237124,-1.0527665443562113,1.7858319536254093,1.448831575088577,2
0.18982966369505214,-1.973553609390797,0.7059208422669494,0.3957741007661703,2
